,Name,Size,Price,Location
0,Vacant Land,1 048 m²,R 1 360 000,Heiderand
1,2 Bedroom Apartment,2 717 m²,R 1 860 000,Mossel Bay Central
2,3 Bedroom House,893 m²,R 4 400 000,Mossel Bay Central
3,4 Bedroom House,270 m²,R 7 949 000,Dana Bay
4,3 Bedroom House,728 m²,R 3 350 000,Dana Bay
5,Vacant Land,1 940 m²,R 1 850 000,Renosterbos Estate
6,Vacant Land,426 m²,R 1 360 000,Springerbaai Eco Estate
7,2 Bedroom Apartment,1 940 m²,R 1 660 000,Dana Bay
8,2 Bedroom House,1 062 m²,R 1 170 000,Dana Bay
9,2 Bedroom Apartment,900 m²,R 1 660 000,Island View
10,2 Bedroom Townhouse,893 m²,R 3 995 000,Springerbaai Eco Estate
11,Vacant Land,347 m²,R 1 440 000,Dana Bay
12,Vacant Land,178 m²,R 1 120 000,Dana Bay
13,4 Bedroom House,886 m²,R 7 500 000,Dana Bay
14,5 Bedroom House,17 000 m²,R 17 900 000,Boland Park
15,2 Bedroom Apartment,2 717 m²,R 1 860 000,Diaz Beach
16,3 Bedroom House,270 m²,R 4 400 000,Mossel Bay Central
17,4 Bedroom House,728 m²,R 7 949 000,Mossel Bay Central
18,4 Bedroom House,1 940 m²,R 7 949 000,Dana Bay
19,3 Bedroom House,426 m²,R 3 350 000,Renosterbos Estate
20,Vacant Land,1 940 m²,R 1 850 000,Springerbaai Eco Estate
21,Vacant Land,1 940 m²,R 1 360 000,Dana Bay
22,2 Bedroom Apartment,1 062 m²,R 1 660 000,Dana Bay
23,2 Bedroom House,900 m²,R 1 170 000,Island View
24,2 Bedroom Apartment,893 m²,R 1 660 000,Springerbaai Eco Estate
25,2 Bedroom Townhouse,347 m²,R 3 995 000,Springerbaai Eco Estate
26,Vacant Land,178 m²,R 1 440 000,Dana Bay
27,Vacant Land,886 m²,R 1 120 000,Dana Bay
28,4 Bedroom House,17 000 m²,R 7 500 000,Dana Bay
29,5 Bedroom House,1 235 m²,R 17 900 000,Boland Park
30,4 Bedroom House,729 m²,R 2 495 000,Santos Bay
31,Farm,21.03 ha,R 9 800 000,Heiderand
32,3 Bedroom House,285 m²,R 2 495 000,Mossel Bay Rural
33,3 Bedroom House,666 m²,R 3 500 000,Dana Bay
34,3 Bedroom Townhouse,332 m²,R 1 889 000,Seemeeu Park
35,3 Bedroom House,666 m²,R 3 500 000,Heiderand
36,3 Bedroom Townhouse,194 m²,R 2 699 000,Seemeeu Park
37,Vacant Land,869 m²,R 1 950 000,Menkenkop
38,Vacant Land,903 m²,R 1 150 000,Dana Bay
39,3 Bedroom House,425 m²,R 4 400 000,Island View
40,Vacant Land,869 m²,R 2 295 000,Island View
41,3 Bedroom House,440 m²,R 2 400 000,Dana Bay
42,4 Bedroom House,406 m²,R 2 300 000,Dana Bay
43,3 Bedroom Townhouse,264 m²,R 2 690 000,Seemeeu Park
44,Vacant Land,752 m²,R 1 295 000,Dana Bay
45,4 Bedroom House,406 m²,R 2 300 000,Dana Bay
46,3 Bedroom House,500 m²,R 3 222 000,Seemeeu Park
47,3 Bedroom House,980 m²,R 11 500 000,Dana Bay
48,3 Bedroom Apartment,892 m²,R 9 970 000,Village On Sea
49,Vacant Land,1 997 m²,R 1 350 000,Diaz Beach
50,2 Bedroom House,2.2 ha,R 2 190 000,Groot Brakrivier Rural
51,4 Bedroom House,208 m²,R 9 900 000,Island View
52,3 Bedroom House,1 126 m²,R 1 995 000,Pinnacle Point Golf Estate
53,5 Bedroom House,880 m²,R 3 990 000,Dana Bay
54,4 Bedroom House,946 m²,R 7 500 000,Dana Bay
55,5 Bedroom House,1 233 m²,R 3 990 000,Pinnacle Point Golf Estate
56,2 Bedroom House,946 m²,R 2 550 000,Dana Bay
57,4 Bedroom House,416 m²,R 2 890 000,Dana Bay
58,3 Bedroom House,219 m²,R 3 360 000,Vakansieplaas
59,3 Bedroom House,220 m²,R 2 710 000,Dana Bay
60,2 Bedroom House,705 m²,R 2 650 000,Heiderand
61,2 Bedroom Apartment,10 853 m²,R 1 660 000,Paradise Coast
62,Vacant Land,855 m²,R 10 400 000,Boland Park
63,2 Bedroom Apartment,1 062 m²,R 2 115 000,Dana Bay
64,3 Bedroom Apartment,1 007 m²,R 2 590 000,Mossel Bay Central
65,3 Bedroom House,425.5 m²,R 3 150 000,Island View
66,3 Bedroom House,726 m²,R 3 350 000,Dana Bay
67,3 Bedroom House,828 m²,R 3 800 000,Dana Bay
68,3 Bedroom House,1 048 m²,R 3 150 000,Heiderand
69,4 Bedroom House,391 m²,R 14 990 000,Dana Bay
70,3 Bedroom House,3 325 m²,R 2 950 000,Dana Bay
71,3 Bedroom House,180 m²,R 3 500 000,Sea Cottage
72,Vacant Land,982 m²,R 775 000,Dana Bay
73,4 Bedroom House,832 m²,R 5 895 000,Seemeeu Park
74,Vacant Land,728 m²,R 1 890 000,Renosterbos Estate
75,Vacant Land,1 008 m²,R 1 500 000,Dana Bay
76,2 Bedroom Apartment,746 m²,R 1 800 000,Menkenkop
77,2 Bedroom Townhouse,8 246 ha,R 1 795 000,Diaz Beach
78,4 Bedroom House,880 m²,R 11 000 000,Diaz Beach
79,Commercial Property,9 000 m²,R 14 840 000,Dana Bay
80,4 Bedroom House,880 m²,R 11 000 000,De Bakke
81,4 Bedroom House,900 m²,R 4 545 000,Dana Bay
82,3 Bedroom House,240 m²,R 2 999 000,Dana Bay
83,4 Bedroom House,1 413 m²,R 13 500 000,Seemeeu Park
84,Vacant Land,974 m²,R 1 850 000,Pinnacle Point Golf Estate
85,2 Bedroom Apartment,340 m²,R 2 350 000,Island View
86,3 Bedroom Apartment,1 048 m²,R 9 970 000,Diaz Beach
87,Vacant Land,300 m²,R 1 560 000,Gondwana Game Reserve
88,4 Bedroom House,872 m²,R 19 900 000,Island View
89,3 Bedroom House,1 254 m²,R 3 795 000,Pinnacle Point Golf Estate
90,2 Bedroom Apartment,742 m²,R 2 650 000,Dana Bay
91,Vacant Land,935 m²,R 1 250 000,Diaz Beach
92,3 Bedroom Townhouse,351 m²,R 2 750 000,Island View
93,2 Bedroom Apartment,960 m²,R 1 995 000,Seemeeu Park
94,Vacant Land,754 m²,R 2 130 000,Boland Park
95,2 Bedroom Apartment,534 m²,R 1 565 000,Dana Bay
96,Vacant Land,893 m²,R 1 600 000,Da Nova
97,2 Bedroom House,679 m²,R 2 770 000,Dana Bay
98,Vacant Land,401 m²,R 1 380 000,Dana Bay
99,4 Bedroom House,1 250 m²,R 7 750 000,Dana Bay
100,3 Bedroom House,360 m²,R 3 845 000,Mossel Bay Golf Estate
101,Vacant Land,1 001 m²,R 3 150 000,Island View
102,4 Bedroom House,334 m²,R 4 000 000,Dana Bay
103,2 Bedroom Apartment,345 m²,R 1 995 000,Twee Kuilen
104,2 Bedroom House,240 m²,R 2 650 000,Boland Park
105,Vacant Land,1 198 m²,R 2 220 000,Santos Bay
106,Vacant Land,359 m²,R 1 020 000,Dana Bay
107,3 Bedroom House,425 m²,R 4 399 000,Dana Bay
108,Vacant Land,341 m²,R 880 000,Island View
109,2 Bedroom House,208 m²,R 2 190 000,Dana Bay
110,3 Bedroom House,900 m²,R 2 995 000,Island View
111,4 Bedroom House,1 274 m²,R 17 000 000,Dana Bay
112,4 Bedroom House,8 394 ha,R 15 335 000,Pinnacle Point Golf Estate
113,4 Bedroom House,911 m²,R 30 499 000,Moquini Coastal Estate
114,Industrial Property,1 001 m²,R 2 650 000,Pinnacle Point Golf Estate
115,2 Bedroom House,8 165 m²,R 1 795 000,Diaz Industria
116,2 Bedroom Townhouse,8 394 ha,R 15 335 000,Dana Bay
117,4 Bedroom House,892 m²,R 1 480 000,Diaz Beach
118,Vacant Land,857 m²,R 4 350 000,Moquini Coastal Estate
119,5 Bedroom House,197 m²,R 2 480 000,Dana Bay
120,3 Bedroom Townhouse,1 096 m²,R 3 099 000,Dana Bay
121,2 Bedroom Apartment,1 018 m²,R 3 250 000,Island View
122,3 Bedroom House,857 m²,R 12 500 000,Mossel Bay Central
123,12 Bedroom House,814 m²,R 3 500 000,Island View
124,Vacant Land,1 206 m²,R 2 380 000,Mossel Bay Central
125,2 Bedroom Apartment,89 ha,R 1 680 000,Boland Park
126,Farm,421 m²,R 10 900 000,Mossel Bay Rural
127,2 Bedroom Apartment,1 418 m²,R 2 095 000,Island View
128,3 Bedroom House,217 m²,R 4 400 000,Mossel Bay Central
129,2 Bedroom Apartment,200 m²,R 2 650 000,Diaz Beach
130,3 Bedroom House,360 m²,R 4 550 000,Mossel Bay Central
131,2 Bedroom House,435 m²,R 1 995 000,Dana Bay
132,3 Bedroom House,842 m²,R 4 500 000,Island View
133,4 Bedroom House,499 m²,R 5 500 000,Pinnacle Point Golf Estate
134,2 Bedroom House,436 m²,R 1 870 000,Paradise Coast
135,Vacant Land,402 m²,R 2 770 000,Linkside
136,2 Bedroom House,715 m²,R 2 895 000,Dana Bay
137,3 Bedroom Townhouse,1 224 m²,R 3 850 000,Dana Bay
138,3 Bedroom House,400 m²,R 1 450 000,Island View
139,Vacant Land,900 m²,R 6 250 000,Dana Bay
